Food,energy,protein,fat,carbs,fiber,calcium,iron,vitamin_c,folate,vitamin_a,vitamin_e,is_alcohol,is_leafy_green,vitamin_k_proxy
Bitter Gourd (Deep-Fried),145.0095062,1.870730996,13.43704414,3.815227032,4.904356003,29.62546158,2.467679977,40.76124191,38.84122467,55.97129822,0.095802002,0,0,0
Bottle Gourd (With Coconut Milk),127,1.6,11.2,5.4,2.862,27,0.82,3.3,46,32,0.1,0,0,0
Cucumber (With Coconut Milk),135,1.8,11.2,7.2,2.9,28,1.02,4.3,20.2,25,0.1,0,0,0
Ridge Gourd (With Coconut Milk),101.0502,1.9264439,7.8567381,5.3864222,2.4414079,95.176689,4.5545182,6.4044023,25.441273,60.34589,0.081762001,0,0,0
Snake Gourd (With Coconut Milk),125,1.9,11.2,4.5,2.6,31,1.07,2.3,13.6,44,0.1,0,0,0
Snake Gourd And Dried Fish (With Coconut Milk),210.36505,8.9220619,16.609068,6.048018,1.620373,43.525723,2.0339153,4.6572199,54.279892,13.903788,0.075500004,0,0,0
Bitter Gourd And Dried Fish (Tempered),140.63193,16.427172,6.6473227,3.7093101,3.517498,66.360687,2.4012198,27.659698,116.17651,40.22739,0.055943001,0,0,0
"Bitter Gourd (Tempered & Boiled, With Coconut Milk)",208.3460999,2.515836,19.01440811,6.509402752,2.616647005,121.6432571,2.175796032,24.32664871,31.71823692,56.08591461,0.065568,0,0,0
Spiny Gourd (Tempered),117.6562958,3.405188084,5.519168854,13.3271122,5.375181675,128.4326782,1.535079002,52.05007553,25.85284996,38.28003311,0.100602001,0,0,0
"Spiny Gourd (Tempered, With Coconut Milk)",209.1983032,3.308544874,16.89486313,10.78059578,2.701086044,115.5785217,2.081711054,30.08632851,23.14764023,24.38614655,0.054924,0,0,0
"Gourd Mallum (Nfs, Tempered, With Scraped Coconut)",137.2259674,1.886078477,12.56531525,3.826502323,4.548282146,29.99140739,1.885488391,12.78101158,22.14988518,32.27933502,0.1689246,0,0,0
"Dubai Pumpkin (Boiled, With Coconut Milk)",83.746597,1.4504369,6.1286364,5.2671981,2.0965519,46.696217,0.819493,6.0179329,22.897797,24.652082,0.14822501,0,0,0
"Pumpkin (Boiled, With Coconut Milk)",92,1.5,7.2,5.8,2.5,26,0.73,3.8,20.8,44,0.4,0,0,0
Pumpkin (Tempered),142.7534943,2.395774126,8.924293518,12.48462868,3.827404976,38.33042145,1.22220397,17.10760307,30.08203506,49.14704132,2.736183167,0,0,0
"Pumpkin (Tempered, With Coconut Milk)",180.0589,2.29406,14.582006,9.4060707,2.094301,62.735405,1.509406,9.8647747,22.751736,33.323658,2.0554771,0,0,0
Amaranth Leaves (Fresh Or Water-Cooked Mallum With Scraped Coconut),156,3.7,12.4,8,3.4,571,16.19,9.4,10.6,804,0.9,0,1,300
Amaranth Leaves (Tempered Mallum With Scraped Coconut),185,3.6,15.8,7.6,3.3,549,15.59,9.2,9.9,774,0.9,0,1,300
Amaranth Leaves (Tempered),215.06981,6.0670543,17.161535,8.1330433,7.816566,339.73566,5.4131107,94.989296,89.728615,1661.7511,0.75497299,0,1,300
"Spinach (Boiled, With Coconut Milk)",100,2.2,8.4,4.2,2,59,2.21,11.6,92.5,274,0.8,0,1,300
"Amaranth Leaves (Boiled, With Coconut Milk)",141.95981,3.572233,11.603986,5.3771262,3.0383439,220.90326,3.0925009,38.947781,43.675716,885.64069,0.334923,0,1,300
Spinach (Fresh Or Water-Cooked Mallum With Scraped Coconut),138.0099945,3.02185297,12.24140835,3.574506998,5.176587105,133.5748291,1.729375958,9.245866776,56.52823639,682.8821411,0.526337028,0,1,300
Radish Leaves (Tempered),83.31690216,2.296064138,6.301447868,4.197085857,2.19499588,261.6578369,4.081073284,73.8099823,38.43731689,412.2783508,0.042118002,0,0,0
Turnip Leaves (Tempered),101.7157974,4.78295517,5.812599182,6.924685478,6.678634167,199.3943634,3.420299053,48.45546722,67.48176575,1036.896118,0.425866783,0,0,0
Cabbage Leaves (Fresh Or Water-Cooked Mallum With Scraped Coconut),110,2.2,9.2,5,4.9,46,0.66,17.6,45.4,4,0.6,0,1,300
Cabbage Leaves (Tempered Mallum With Scraped Coconut),187,2.1,17.8,4.8,4.7,41,0.65,15.6,40.3,3,0.7,0,1,300
Cabbage Leaves (Tempered),181,4.5,14.8,8.1,4.4,148,3.06,29.3,65.9,75,0.3,0,1,300
Cabbage (With Coconut Milk),139,2.2,11.8,6.4,3.1,56,0.98,16.7,39.1,27,0.1,0,1,300
Cabbage And Potato (With Coconut Milk),165,2.4,12.9,10.6,2.6,40,0.89,14.9,31,25,0.1,0,1,300
Cabbage (Tempered),84.4,2,6.23,5.4,0,37.8,7.1,88.4,1.86,148.1,0,0,1,300
"Cabbage (Tempered, With Coconut Milk)",185.48441,2.619921,16.215216,6.7833629,2.567554,130.88342,1.453778,24.481897,44.887177,12.343535,0.072273999,0,1,300
Cassava Leaves (Fresh Or Water-Cooked Mallum With Scraped Coconut),141,8,8.3,8.8,3.1,215,18.95,34.4,17.5,23,0.5,0,0,0
Cassava Leaves (Tempered Mallum With Scraped Coconut),242,6.7,21,6.7,4.381,156,14.77,26.8,12.9,1,1.1,0,0,0
Sweet Potato Leaves (Tempered Mallum With Scraped Coconut),196.0113068,3.225731134,17.76296234,4.852575302,4.146923065,49.42868423,3.851385117,36.77741623,6.141970634,207.4246826,0.110003002,0,0,0
Taro Leaves (Tempered Mallum With Scraped Coconut),227,5,20.7,5.5,7.431,86,2.28,23.4,41.3,851,1.1,0,0,0
Cassava Leaves (Tempered),116.5761948,5.801773548,7.523952007,6.201632977,3.992795944,178.9590302,2.615865946,52.52313232,63.10897446,1112.880981,0.015151001,0,0,0
Drumstick Leaves (Fresh Or Water-Cooked Mallum With Scraped Coconut),175,6.4,13.6,7.3,9.9,253,4.06,48.5,43.9,2309,1.1,0,0,0
Drumstick Leaves (Tempered Mallum With Scraped Coconut),220.2818909,6.07666111,18.33315849,6.820098877,9.213152885,239.5034485,4.966945171,64.27639771,38.87808609,1775.441162,0.354203999,0,0,0
Drumstick Leaves (Tempered),240,7.6,18.9,10.4,9.5,325,5.25,82.1,55,2891,0.5,0,0,0
Kathurumurunga (Fresh Or Water-Cooked Mallum With Scraped Coconut),131,7,8.9,6.1,8.8,688,3.63,1.8,98.6,1593,1.9,0,0,0
Kathurumurunga (Tempered Mallum Withscraped Coconut),160,6.1,12.7,5.6,7.9,588,3.15,1.9,85.2,1359,1.7,0,0,0
Drumstick Leaves (Boiled),123.5009918,5.396572113,8.852272034,4.780105114,8.4708004,231.2885132,4.530988216,61.98711777,35.63906479,1767.942749,0.312287986,0,0,0
"Drumstick Leaves (Boiled, With Coconut Milk)",187.3352966,5.81202507,14.6266861,7.391931057,6.246074677,306.0354004,5.033140182,48.58143234,34.05423355,1778.207031,0.236301005,0,0,0
Gotukola (Fresh Or Water-Cooked Mallum Withscraped Coconut),150.9633026,1.980798006,14.02437878,3.867722034,8.107066154,76.43804932,1.564435005,6.930082321,51.90987396,149.6823425,0.700741053,0,1,300
Gotukola (Tempered Mallum Withscraped Coconut),229,3,20.4,8.8,6.9,262,8.05,8.2,11.7,802,315.9,0,1,300
Gotukola (Tempered),128.5872,2.0037789,9.9439945,7.3673201,7.563437,111.28839,1.865361,15.751106,71.710175,218.85442,0.81905496,0,1,300
Kankun (Fresh Or Water-Cooked Mallum With Scraped Coconut),153,3.7,13.1,5.5,4.5,92,3.58,18.3,10.7,261,0.8,0,1,300
Kankun (Tempered Mallum With Scraped Coconut),217,4,19.9,5.7,5,99,3.86,18.7,11.4,282,1,0,1,300
Kankun (Tempered),61,2.6,3.9,4,2,84,3.07,23.4,5.8,281,0.1,0,1,300
Mukunuwenna (Fresh Or Water-Cooked Mallum With Scraped Coconut),160,5.3,12.5,7,8.5,299,3.4,44.4,47.1,666,1.2,0,1,300
Mukunuwenna (Tempered),127.790802,3.837226868,10.58715916,3.884290934,7.082312584,129.4305878,1.96739006,6.22454977,81.41691589,78.41910553,0.376435012,0,1,300
"Mukunuwenna (Boiled, With Coconut Milk)",139.4314,3.3193929,11.496529,5.3897681,3.6009128,143.15495,1.954721,4.0988431,54.043739,55.906693,0.20850299,0,1,300
"Mukunuwenna (Tempered, With Scraped Coconut)",183.7799988,3.864872932,16.5184803,4.444108009,7.352119923,117.1173706,1.925246,6.003837109,71.55018616,79.14176941,0.379054993,0,1,300
Onion Leaves (Tempered Mallum With Scraped Coconut),194,4,16.9,7.1,9.1,39,3.88,21.8,75.8,128,1.6,0,0,0
Onion Leaves (Tempered),141,3.8,9.9,9.6,8,52,3.94,24.2,76.6,141,1,0,0,0
Onion Leaves (With Coconut Milk),160,2.9,13.3,7.6,4.8,42,2.89,12.2,46.3,89,0.6,0,0,0
Pumpkin Leaves (Fresh Or Water-Cooked Mallum With Scraped Coconut),177,4.6,14.7,6.9,5.6,205,4.62,6.8,37,178,2.2,0,0,0
Pumpkin Leaves (Tempered Mallum With Scraped Coconut),201,4.7,17.5,6.8,5.4,212,4.76,9.8,36.7,186,2.2,0,0,0
Pumpkin Leaves (Tempered),59,2.5,4.2,2.9,0.3,32,1.67,4.3,28.6,4,0.1,0,0,0
Anguna Kola (Tempered Mallum With Scraped Coconut),179.3927917,4.430605888,14.59377766,7.06265974,6.78387785,268.2716675,2.016974926,31.36408424,73.44284058,1500.634277,0.495563,0,0,0
Gymnema Leaves (Tempered Mallum With Scraped Coconut),213.7822876,4.507966042,19.65065193,4.046452999,7.572259903,225.6841125,3.629083157,61.38724899,61.37093735,1134.541504,0.58930999,0,0,0
"Leaves (Nfs, Boiled, With Coconut Milk)",173.1434021,4.222723007,14.10889912,6.885292053,4.184862137,221.6204071,3.086734533,27.4624939,46.06773758,745.2289429,0.284219116,0,0,0
"Leaves (Nfs, Fresh Or Water-Cooked Mallum, With Scraped Coconut)",151.3726654,4.557992458,12.14378643,5.335762501,7.945581436,163.4723816,2.922147989,37.2275238,55.44017792,816.8736572,0.447599977,0,0,0
"Leaves (Nfs, Tempered)",96.63223267,4.289451599,5.68130064,6.499809265,5.976947784,174.7946014,3.050265789,43.00003052,59.84657288,905.7293091,0.377484858,0,0,0
"Leaves (Nfs, Tempered Mallum, With Scraped Coconut)",192.0611572,4.335134506,16.86618614,5.136384964,7.478957176,157.5724182,2.789301157,35.98104477,53.33901215,786.9041138,0.424245447,0,0,0
Mushroom (Tempered),75.93094635,3.098341227,4.493332863,5.299437046,4.007982254,21.92716599,1.474571228,25.52275085,16.26382256,58.624897,0.112588659,0,0,0
"Mushroom (Tempered, With Coconut Milk)",218,4.2,19.4,7.2,3.1,25,0.88,3,12.9,28,0.1,0,0,0
"Ash Plantain (Boiled, With Coconut Milk)",152,1.6,10.5,13.7,2.6,16,0.58,8.6,12.9,17,0.1,0,0,0
Ash Plantain (Deep-Fried),150,1.7,5.1,25.9,5.3,20,0.5,24,27.9,1,0.1,0,0,0
"Plantain Stem (Tempered, With Coconut Milk)",160,1.3,12.7,10.8,2.691,21,0.8,3,14.8,45,0.1,0,0,0
Ash Plantain And Fish (Tempered),237.22531,24.696022,9.1544189,13.718862,4.5972929,72.137169,2.1098902,5.4341474,134.15128,20.877998,0.096767999,0,0,0
Ash Plantain (Tempered),123.5166016,3.3197999,4.901051044,16.2754364,4.816104889,42.096241,0.752294004,5.28167057,8.780802727,12.34021854,0.066997997,0,0,0
"Ash Plantain (Tempered & Boiled, With Coconut Milk)",184.7518005,3.473891973,12.89064884,13.38365173,3.376360893,20.4666214,1.589293003,5.543022156,15.5822897,12.39232635,0.063441001,0,0,0
"Beet Root (Boiled, With Coconut Milk)",183,2.5,15.8,8.1,2.7,24,1.14,2.7,57.5,26,0.1,0,0,0
Beet Root (Tempered),68,1.3,4.7,5.7,2,15,0.7,1.9,100.7,7,0.1,0,0,0
"Beet Root (Tempered, With Coconut Milk)",168,2.7,14,8.4,3.2,27,1.28,3.6,68.4,31,0.1,0,0,0
Carrot (Boiled),22,0.6,0.4,4.4,2.7,30,0.4,2,17,735,0.6,0,0,0
Carrot (With Coconut Milk),193,2.1,17,8.5,3.4,39,1.35,2.7,16.8,530,0.2,0,0,0
Carrot And Broad Beans (With Coconut Milk),139,2.2,12,6,3.7,36,1.1,4.4,13.4,313,0.1,0,0,0
Carrot And Dried Fish (With Coconut Milk),91,7.9,4.2,5.8,3,43,1.06,3.3,21.1,495,0.4,0,0,0
"Carrot And Green Beans (Boiled, Plain)",25,1.4,0.4,4.2,2.1,41,0.8,6.5,37.3,452,0.3,0,0,0
Carrot And Potato (With Coconut Milk),196,2,17.1,9.1,2.4,27,1,4.5,12.5,313,0.1,0,0,0
"Kohlrabi (Boiled, With Coconut Milk)",186.95795,3.150048,16.464243,6.1917391,2.7848771,115.90562,1.6213369,48.818405,20.877323,9.7819414,0.176911,0,0,0
"Radish (Boiled, With Coconut Milk)",174,2.1,14.1,10.3,3.1,36,0.56,10.9,30,22,0,0,0,0
"Radish (Tempered, With Coconut Milk)",202,2.1,17.3,10.3,3.1,36,0.57,13.9,30,23,0.1,0,0,0
"Carrot And Green Beans (Boiled, With Coconut Milk)",150.3481,2.702482,12.483504,6.3891311,3.592958,61.092461,1.623049,7.2828255,26.401108,433.63403,0.13452201,0,0,0
Carrot (Tempered),146.8068085,2.256705046,10.29977989,10.41388798,6.633108139,166.7333984,1.427105069,11.41138077,25.46794128,1044.32605,0.319461018,0,0,0
"Carrot And Leek (Boiled & Tempered, With Coconut Milk)",192.4382935,2.644751072,16.44133186,8.126159668,3.067286968,73.05853271,2.115152121,6.475384712,33.11538696,418.4212952,0.336796016,0,0,0
Radish (Tempered),116.4721985,1.792971015,7.851063251,9.10244751,3.571248055,97.29316711,0.829441011,17.80887604,24.36790466,17.86125374,0.076728001,0,0,0
"Cassava Root (Fresh, Deep-Fried)",268.8743896,1.868054032,16.03806877,28.32001877,8.581903458,44.34097672,2.870497704,18.89478111,26.05888176,4.857379913,0.384647012,0,0,0
"Cassava Root (Fresh, Boiled)",130,0.5,0.2,33.5,1.5,17,0.5,17,11,0,0,0,0,0
Cassava (With Coconut Milk),188,1.2,7.7,30.4,0.7,41,0.88,10.5,1.4,9,0,0,0,0
Purple Yam (With Coconut Milk),138,2.4,7.1,17.4,2.7,30,1.25,4.5,8.9,89,0.2,0,0,0
Purple Yam (Boiled),99.83789825,3.101759911,0.290789992,20.2486763,4.555709839,39.77780533,1.271169066,10.10398293,19.35789108,32.12260056,0.474956989,0,0,0
Taro Root (With Coconut Milk),108.17381,2.1338401,5.578413,11.922556,2.1484849,18.244606,1.148185,11.862414,15.677049,12.360657,0.080109,0,0,0
Cassava (Boiled & Tempered),162.9881897,1.455864072,8.711854935,19.02280045,5.61216116,56.26021194,1.295941949,16.39490318,25.59797096,12.28779507,0.212617993,0,0,0
"Cassava & Tomato (Boiled, With Coconut Milk)",115.063,1.84914,5.629077,13.717,4.101953,25.226326,1.466929,15.406446,22.591177,35.254406,0.151281,0,0,0
Lasia Stem (With Coconut Milk),82,1.1,5.6,7.2,0.7,109,1.19,5.5,3.5,57,0,0,0,0
Lasia Stem (Tempered Mallum With Scraped Coconut),83,0.7,5.6,8,0.8,166,1.21,7.2,2.7,51,0.2,0,0,0
Garlic (With Coconut Milk),105,3.6,5.3,11.4,2.8,16,0.85,3.7,37.5,51,0,0,0,0
Leeks (With Coconut Milk),282,3.3,25.2,11.3,1.7,59,1.6,4,28.2,22,0.3,0,0,0
Leeks & Dried Fish (Tempered),149,17.4,6.5,5.6,0.2,109,7.56,8.6,1.4,32,0,0,0,0
Leeks & Potato (With Coconut Milk),228,3.6,18.2,13,0,37.4,2.5,8.2,54.45,89.26,0,0,0,0
Leeks (Fresh/ Water-Cooked Mallum With Scraped Coconut),142,2.5,12.1,6.2,3.4,45,0.79,3.6,35.5,3,1.1,0,0,0
Leeks (Tempered Mallum With Scraped Coconut),106,1.9,8.8,5,0.4,42,0.4,4.4,27.2,4,0.3,0,0,0
Onion (Tempered),175.5213928,2.793833017,11.69314575,14.32931042,4.716042042,34.07948685,1.464627028,18.62037659,36.56173325,63.95479965,0.152560994,0,0,0
Leeks (Tempered),160.7722015,2.851191044,11.89799595,10.31424999,4.126073837,45.92801285,2.316802979,16.81974602,42.09104156,76.7702179,0.47212702,0,0,0
"Onion (Tempered, With Coconut)",203.7045,2.302567,18.385317,7.0531669,0.91910803,19.39156,1.5571699,4.6594772,17.619427,5.1386089,0.034401,0,0,0
Lotus Root (With Coconut Milk),153,2.2,11.8,10.1,3,33,2.08,5.8,13.9,127,0.3,0,0,0
Potato (With Coconut Milk),87,1.8,4.1,11.5,2,16,0.9,8.5,15.2,33,0.1,0,0,0
Potato & Capsicum (With Coconut Milk),118,1.7,8,10.5,1.6,13,0.54,20.5,20,22,0.1,0,0,0
Potato & Dried Fish (With Coconut Milk),110,8.2,4.1,10.7,1.8,30,1.06,8.2,16.8,25,0.4,0,0,0
Potato & Green Beans (With Coconut Milk),122,2.1,9,8.8,0.9,29,0.85,6.7,30.1,28,0.2,0,0,0
Potato & Leeks (With Coconut Milk),167,2.4,12.9,11,1.2,40,0.93,6.5,24.2,25,0.2,0,0,0
Potato (Tempered),113,2.1,4.8,16.6,2.6,22,1.19,17,19,64,0.1,0,0,0
Potato & Dried Fish (Tempered),168.39954,16.385431,6.6358485,10.634164,1.9049531,55.258717,1.548293,12.400393,95.32811,9.1668482,0.063469,0,0,0
"Potato & Tomato (Tempered, With Coconut Milk)",158.6338,2.4357719,11.077349,11.929136,1.595327,35.607609,1.097368,30.317354,14.087831,13.922784,0.073895998,0,0,0
Potato (Deep Fried),257.16409,2.450057,17.366776,22.138538,2.523412,14.421593,0.67486602,25.564217,14.695941,0,0.073354997,0,0,0
"Potato (Tempered & Boiled,With Coconut Milk)",183.8938,2.5708399,13.320413,12.967556,2.1484849,21.284605,1.452185,12.288014,18.109049,12.360657,0.080109,0,0,0
"Potato (Fish & Vegetables, Tempered)",225.19601,23.865257,8.9768419,11.79743,3.3235459,76.362907,2.1159251,20.847948,142.12854,29.305927,0.40880701,0,0,0
"Potato (Boiled, Curry)",86.974998,2.0457499,0.30625001,18.48525,2.1070001,11.519663,0.53772497,18.834375,13.147312,0,0.061250001,0,0,0
Sweet Potato (Boiled),84,1.1,0.3,20.5,2.1,23,0.7,17,8,660,4.4,0,0,0
Sweet Potato (With Coconut Milk),162,1.8,8.6,20.6,3.5,29,0.69,8.5,13.2,676,0,0,0,0
Palmayra Tuber (Boiled),22.58639908,0.470550001,0.112931997,4.63021183,2.258640051,0.079999998,0.0024,0.15881063,15.49991703,0,0.028232999,0,0,0
"Starchy White Root/ Tuber & Vegetable (Nfs, Tempered)",136.7526703,2.67430377,7.757089138,13.47188377,5.303244114,106.6937103,1.316880465,18.25508499,32.6035614,30.58295631,0.181304023,0,0,0
"Starchy White Root/ Tuber & Vegetable (Nfs, Tempered,With Coconut Milk)",185.3435059,2.73588562,14.57011032,10.38048935,3.654074192,66.00514984,1.574020624,12.77808094,37.16790771,20.56365395,0.110691525,0,0,0
"Starchy White Root/ Tuber & Vegetable (Nfs, With Coconut Milk)",166.9360504,2.920766354,12.26408577,10.76596642,3.755946159,67.63962555,1.684882402,13.1249094,39.07784271,21.12834358,0.112628832,0,0,0
Carrot,29,0.9,0.5,5.6,4.2,35,0.6,6.2,24,903,0.2,0,0,0
Cucumber,16,0.8,0.2,2.8,2.1,19,0.59,6.2,14.7,1,0,0,0,0
Lasia Stem,33,4.1,0.83,2.03,4.05,19.5,0.25,5.56,56.76,300,0.02,0,0,0
Tomato,17,0.8,0.3,3.2,1.6,9,0.22,25.3,15.4,0,0.2,0,0,0
Onion,40,1.1,0.1,9.34,1.7,23,0.21,7.4,19,0,0,0,0,0
Beet Root Salad,33,1.9,0.2,6.4,3.2,18,0.73,4,84.7,2,0.1,0,0,0
Carrot Salad,30,1.1,0.4,5.8,3.9,31,0.6,11.1,22.4,711,0.2,0,0,0
Carrot Salad (With Scraped Coconut),87,1.5,6.5,5.9,4.509,26,0.69,11.7,22.4,533,0.6,0,0,0
Carrot & Tomato Salad,29,1,0.4,5.6,3.6,29,0.56,13.3,22,668,0.2,0,0,0
Cucumber & Tomato Salad,20,0.8,0.2,4,2.1,16,0.44,11.8,16.6,35,0.1,0,0,0
Cucumber Salad,21,0.9,0.2,4.2,2.3,17,0.49,10,17.3,2,0,0,0,0
Tomato Salad,22.3248,1.063985,0.29846001,3.629338,2.269136,19.424252,0.61556101,10.870911,20.691629,24.106205,0.032313,0,0,0
"Vegetable (Nfs, Tempered)",91.84256744,3.350068808,5.277957439,7.174543858,6.780965328,119.2502136,1.420481086,17.02755547,56.99988556,45.93120575,0.188536495,0,0,0
"Vegetable (Nfs, Boiled With Coconut Milk)",161.5621033,3.202032804,13.28018856,6.903553009,3.879667282,97.80103302,1.724197507,9.691613197,45.52577591,27.84467316,0.102759436,0,0,0
"Vegetable (Nfs, Tempered,With Scraped Coconut)",170.2814026,3.292898655,14.68012619,5.700458527,7.146770477,38.14163589,1.218468547,12.21311951,54.12369156,32.7273674,0.192110732,0,0,0
Vegetable Soup,59.39860153,3.513803005,0.480477005,9.733413696,4.264503002,43.66044617,1.306761503,14.58968449,29.09160423,316.3060608,0.174747005,0,0,0
"Vegetable, Nfs, & Dried Fish Mallum (Light Tempered, With Scraped Coconut)",141.11607,11.838052,8.2922192,4.3468981,5.7910295,58.53096,1.7808168,9.6081657,90.142311,29.600557,0.19248399,0,0,0
"Vegetable, Nfs, & Dried Fish (Small, Tempered)",125.36241,11.350463,6.373456,5.4192939,4.6777697,60.312424,1.5744616,14.858517,102.59276,41.310135,0.10799737,0,0,0
"Vegetable, Nfs, & Dried Fish (Small, With Coconut Milk)",180.21558,7.725174,13.915827,5.842598,2.7611854,46.77412,1.9349971,6.6994705,66.197365,19.015652,0.072026931,0,0,0
"Vegetable, Nfs, & Dried Fish (Tempered)",126.1305,11.877072,6.2467012,5.4192939,4.6777697,55.307976,1.572193,14.858517,91.806229,41.310135,0.10799737,0,0,0
"Vegetable, Nfs, & Dried Fish (With Coconut Milk, Tempered)",227.99112,8.0237818,19.103952,5.842598,2.7611854,43.936409,1.9337107,6.6994705,60.080994,19.015652,0.072026931,0,0,0
"Vegetable Nfs, & Dried Fish (With Coconut Milk)",180.65111,8.0237818,13.843952,5.842598,2.7611854,43.936409,1.9337107,6.6994705,60.080994,19.015652,0.072026931,0,0,0
"Leafy Greens (Nfs & Dried Fish,Tempered)",178.48338,21.131659,7.5486746,6.2669487,5.2783079,161.27927,3.3043323,27.646551,138.44347,508.65421,0.28023785,0,1,300
"Starchy White Root (Nfs & Dried Fish,Tempered)",184.8878,16.20339,9.0151577,9.3677254,2.9212658,54.943913,1.6626275,8.784687,96.263092,20.892277,0.11711724,0,0,0
"Starchy White Root (Nfs & Dried Fish , Without Coconut Milk)",188.58249,7.5782299,12.232293,11.72798,2.083277,31.332191,1.4074622,12.072628,48.564365,2.0277092,0.065055721,0,0,0
Bulath Vita,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugar,387,0,0,100,0,1,0.05,0,0,0,0,0,0,0
Coconut Milk (Fresh),169,1.1,16.9,3.3,0,0,0,0,0,0,0,0,0,0
Coconut Oil,892,0,99.1,0,0,1,0.05,0,0,0,0,0,0,0
Spices & Seasonnings,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betel / Areca Nut,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halmassa Anchovy (Sprat, Dried)",259,51.16,5.92,0,0,117.8,3.06,0,438,0,0,0,0,0
Tuna (Dried),282,63.79,3.37,0,0,83.48,3.6,0,213,0,0,0,0,0
"Fish (Nfs, Dried)",269.2122186,53.93037513,5.949571275,0,0,139.4998178,2.992722401,0,337.4825295,0,0,0,0,0
