Food,energy,protein,fat,carbs,fiber,calcium,iron,vitamin_c,folate,vitamin_a,vitamin_e,is_alcohol,is_leafy_green,vitamin_k_proxy
Green Leaf Sambol,146,2.9,12.2,6.5,4,136,6.21,20.7,14.5,298.1263,0.8,0,0,0
Tomato & Onion Sambol,30.6502,1.125338,0.36788201,5.5310812,2.047044,13.191713,0.346457,17.811415,23.369179,72.846115,0.064412996,0,0,0
"Scraped Coconut (Fresh, Unsweetened)",354,3.33,33.5,15.2,9,14,2.43,3.3,26,0,0,0,0,0
"Halmassa Anchovy (Sprat), Fresh, Tempered",162.1199,10.610541,9.9280233,7.403954,3.1937311,224.05354,1.617159,12.896813,41.684608,43.765598,0.097162001,0,0,0
"Halmassa Anchovy (Sprat), Fresh, Tempered, With Coconut Milk",253,12.1,21,4.3,1.2,73,1.33,5.8,5.6,106,0.4,0,0,0
"Halmassa Anchovy (Sprat), Dried, Tempered",246.5663,27.46488,13.527148,3.4665232,1.31533,74.270126,1.902095,7.2564597,215.55223,14.496631,0.050253998,0,0,0
"Halmassa Anchovy (Sprat), Dried, Boiled, With Coconut Milk",244.0025,18.960007,16.487228,4.9229832,1.249688,60.850235,2.3412261,3.0915785,142.93864,12.202394,0.030092999,0,0,0
"Halmassa Anchovy (Sprat), Dried, Boiled",215.526,39.681572,4.800508,3.251961,1.668628,107.22873,2.9397421,2.5766902,304.59558,20.197735,0.048393998,0,0,0
"Halmassa Anchovy (Sprat), Fresh, Fried",257.66,21.216,19.140322,0,0,473.28,1.5232,0,59.603905,0,0,0,0,0
"Halmassa Anchovy (Sprat), Fresh, Boiled, With Coconut Milk",206,13.9,14.9,4.3,0.8,109,1.35,3.3,12.5,24,0,0,0,0
"Halmassa Anchovy (Sprat), Dried, Fried",376.26199,44.91848,21.737761,0,0,103.4284,2.6866801,0,346.1076,0,0,0,0,0
"Jack Fish (Fresh, Deep-Fried)",213.175,24.923,11.8855,1.24125,0.54400003,38.857998,2.78005,0,7.6210313,0.20542499,0.078249998,0,0,0
"Trevally Jack (Fresh, Deep-Fried)",213.175,24.923,11.8855,1.24125,0.54400003,38.857998,2.78005,0,7.6210313,0.20542499,0.078249998,0,0,0
"Jack Mackerel (Canned, Tempered)",134.82831,14.749747,7.388051,2.267751,1.195402,118.68902,1.907125,2.2725194,42.067554,10.708673,0.047699001,0,0,0
"Jack Mackerel (Canned, Tempered, With Coconut Milk)",208,10,17.3,3.2,1,21,1,3,4,78,0.3,0,0,0
"Jack Mackerel (Fresh, Boiled, With Coconut Milk)",195,14.2,14.6,1.8,0.5,14,0.85,0.4,2.3,69,0.3,0,0,0
"Scad (Bolla), Fresh, Boiled",65.3395,9.3056641,1.752918,3.251961,1.668628,123.09503,1.3261223,2.5766902,81.7034,20.197735,0.048393998,0,0,0
"Scad (Bolla), Fresh, Boiled, With Coconut Milk",154.1649,9.4425344,11.147011,4.1620331,1.36043,119.02656,2.06564,2.4795806,81.04184,16.195127,0.062613003,0,0,0
"Scad (Bolla), Dried, Tempered",264.22699,30.124569,13.517105,5.532794,2.6848149,48.084431,1.5957069,7.6027465,100.23679,18.585676,0.088514999,0,0,0
"Scad (Bolla), Fresh, Tempered",92.9067,8.0836287,6.0984068,1.564873,1.046944,102.28162,0.900675,2.6063035,72.15583,16.797201,0.026907001,0,0,0
"Jack Mackerel (Fresh, Boiled And Tempered, With Coconut Milk)",208,10,17.3,3.2,1,21,1,3,4,78,0.3,0,0,0
"Jack Mackerel (Fresh, Boiled)",79.561501,11.827334,2.135818,3.251961,1.668628,102.30904,1.6707323,2.5766902,33.841995,20.197735,0.048393998,0,0,0
"Trevally Jack (Fresh, Boiled, With Coconut Milk)",79,13.8,1.2,3.4,1.1,24,1.53,3.2,741.8,83,0.3,0,0,0
"Scad (Bolla), Fresh, Fried",195.655,18.230001,13.1665,1.24125,0.54400003,224.8475,2.6075499,0,162.73648,0.20542499,0.078249998,0,0,0
"Queen Fish (Dried, Tempered, With Coconut Milk)",162.1669,6.8137026,13.42488,3.6249828,1.249688,27.202415,1.102062,2.5629385,16.056957,12.202394,0.030092999,0,0,0
"Queen Fish (Fresh, Deep-Fried)",208.575,26.51,10.77,1.24125,0.54400003,11.1775,2.48105,0,8.6042805,0.20542499,0.078249998,0,0,0
"Eel (Dried, Tempered, With Coconut Milk)",251.34691,23.905003,15.66808,3.815783,1.302888,35.296715,1.556162,2.6804285,77.628197,12.205353,0.031093,0,0,0
"Ray (Fresh, Tempered)",98.724304,11.661452,5.075479,1.564873,1.046944,14.057721,0.93461096,2.6063035,9.4740992,16.797201,0.026907001,0,0,0
"Ray (Dried, Tempered, With Coconut Milk)",175,8.3,13.8,4.6,1.6,32,1.69,5.5,7.1,37,0.1,0,0,0
"Ray (Fresh, Boiled, With Coconut Milk)",160.2849,13.206335,10.07091,4.1620331,1.36043,26.216759,2.1013401,2.4795806,15.101894,16.195127,0.062613003,0,0,0
"Ray (Dried, Tempered)",262.75378,30.067816,13.400931,5.4839292,2.643693,46.889629,1.556093,7.6027465,100.01613,18.566446,0.084687002,0,0,0
"Hurulla Or Keeramin Sardinella (Fresh, Tempered)",253.96001,13.952,21.9984,0,0,23.902399,0.15912001,0,8.2828798,0,0,0,0,0
"Hurulla Or Keeramin Sardinella (Fresh, Tempered, With Coconut Milk)",169,8.5,13.1,4.5,1.3,22,1.15,5.9,9.6,76,0.3,0,0,0
"Salaya Sardinella (Fresh, Tempered)",190.8286,14.537046,12.580782,4.836813,2.0946031,325.06467,1.802663,3.7881665,44.99646,22.66695,0.054405998,0,0,0
"Salaya Sardinella (Fresh, Tempered, With Coconut Milk)",176,7.1,14.6,4.1,1.2,32,0.97,5.9,14.2,72,0.2,0,0,0
"Sardinella (Dried, Tempered, With Coconut Milk)",190.7552,7.0676069,15.863411,4.8086963,1.407411,33.558552,1.478223,4.1785927,52.089779,11.14854,0.052575,0,0,0
"Sardines (Canned, Tempered)",203.5186,14.537046,13.990782,4.836813,2.0946031,325.06467,1.802663,3.7881665,44.99646,22.66695,0.054405998,0,0,0
"Sardines (Canned, Tempered, With Coconut Milk)",176,7.1,14.6,4.1,1.2,32,0.97,5.9,14.2,72,0.2,0,0,0
"Salaya Sardinella (Fresh, Boiled, With Coconut Milk)",144,10.7,9.6,4.1,1.1,42,1.1,4.9,16.8,68,0.2,0,0,0
"Hurulla Or Keeramin Sardinella (Fresh, Boiled, With Coconut Milk)",85,9,4.2,3.1,0.8,15,0.87,2.8,6.3,55,0.2,0,0,0
"Sardinella (Dried, Tempered)",273.91141,20.833307,19.091057,4.6765118,2.4450169,70.367607,1.9113698,6.9778762,162.52977,26.468128,0.074337654,0,0,0
"Shark (Dried, Tempered, With Coconut Milk)",161.2869,7.3626027,13.08828,3.6249828,1.249688,22.328314,1.1031621,2.5629385,26.610357,12.202394,0.030092999,0,0,0
"Shark (Fresh, Deep-Fried)",206.005,25.026501,11.0505,1.24125,0.54400003,12.6035,1.5380499,0,9.1114311,0.20542499,0.078249998,0,0,0
"Barracuda (Fresh, Boiled, With Coconut Milk)",164.87491,12.895235,10.67271,4.1620331,1.36043,26.420759,1.66274,2.4795806,12.604934,16.195127,0.062613003,0,0,0
"Shark (Fresh, Boiled, With Coconut Milk)",70,12.3,0.9,3.4,1.1,23,0.88,3.2,8.7,128,0.1,0,0,0
"Catfish (Dried, Tempered, With Coconut Milk)",165.2469,8.0545034,13.19938,3.6249828,1.249688,23.305115,1.3187621,2.5629385,42.945358,12.202394,0.030092999,0,0,0
"Tilapia (Fresh, Tempered, With Coconut Milk)",153.2587,9.470171,10.776002,4.5807047,1.411787,60.034245,2.120332,3.4874289,11.445087,14.291841,0.039218001,0,0,0
"Tilapia (Fresh, Deep-Fried)",252,25.6,16.6,0,0,138,3.94,0,11.5,24,2.7,0,0,0
"Carp (Fresh, Boiled, With Coconut Milk)",177.62491,12.512734,12.42201,4.1620331,1.36043,64.227058,1.6933399,2.4795806,15.863834,16.195127,0.368613,0,0,0
"Carp (Fresh, Tempered)",115.2075,11.002125,7.3104072,1.564873,1.046944,50.189865,0.54677099,2.6063035,10.19839,16.797201,0.31778699,0,0,0
"Catfish (Fresh, Boiled, With Coconut Milk)",165.8949,12.752435,10.871611,4.1620331,1.36043,23.421959,1.76474,2.4795806,14.193074,16.195127,0.062613003,0,0,0
"Catfish (Dried, Tempered)",283.01901,33.407948,14.044325,5.532794,2.6848149,52.719791,2.6188271,7.6027465,177.75378,18.585676,0.088514999,0,0,0
"Catfish (Fresh, Fried)",224.29361,23.297873,14.437351,0,0,6.1042156,0.76483798,0,10.739289,0,0,0,0,0
"Carp (Fresh, Tempered & Boiled, With Coconut Milk)",233.9649,13.061934,18.315411,4.4370327,1.36043,66.73806,1.78494,2.5915806,16.773834,16.195127,0.380613,0,0,0
"Tilapia (Fresh, Boiled, With Coconut Milk)",96,9.2,4.8,4.2,1.1,60,1.85,3.4,9.2,70,0.8,0,0,0
"Tilapia (Fresh, Boiled)",63.698502,10.831794,0.88318801,3.251961,1.668628,71.890358,2.1630323,2.5766902,8.4934702,20.197735,0.048393998,0,0,0
"Tilapia (Fresh, Tempered)",91.452301,9.4362202,5.3275747,1.564873,1.046944,56.899498,1.642419,2.6063035,7.2706833,16.797201,0.026907001,0,0,0
